Company,Brief Description,Detailed Description,Founded Year,HQ Address,Email ID,Contact Detail,website address,LinkedIn Page Link,Twitter Page Link,Total Number of Investments,Preferred Sectors,Average Cheque Size,Average Round Size,Lead or Co-Investor Preference,Most Recent Investment,Guidance for Founders,Evaluation Criteria,PNG Address of the logo,Guidance for Founders
CAPRIA VENTURES,"Capria Ventures is a global investment firm focused on delivering superior returns by investing in the Global South across Africa, Asia, and Latin America.","Capria Ventures is a global investment firm managing multiple funds that invest in emerging markets across Asia, Africa, and Latin America. The firm operates both directly and through a network of fund managers. Capria's investment thesis focuses on the rising middle class in emerging economies and opportunities in essential services, financial inclusion, and digital platforms. The firm emphasizes gender-lens investing and ESG principles across its portfolio. Capria combines Silicon Valley innovation with deep emerging market expertise to help scale impactful businesses while delivering competitive financial returns.",2015,"16/1, Haudin Rd, Yellappa Chetty
Layout, Sivanchetti Gardens,
Bengaluru, India",https://capria.vc/contact/general/,Not publicly available for India office,https://capria.vc,https://www.linkedin.com/company/capria/,https://twitter.com/capriavc,110,"FinTech, EdTech, Healthcare, Essential Services, Digital Platforms, Consumer Tech focused on the Global South","$500,000 to $5 million",$1 million to $10 million,Both lead and co-investor,"Feb 08, 2025 | Eduvanz | India | Stage -Series B | Amount invested - $2.91M",Entrepreneurs can submit their business plans through Capria's website. The firm looks for scalable business models addressing large markets in the Global South with potential for significant impact.,,,
CAPRICORN INVESTMENT GROUP,"Capricorn Investment Group is a global investment firm founded by Jeff Skoll with a growing focus on India, investing in companies that address global challenges through sustainable and impact-driven business models.","Capricorn Investment Group was founded in 2001 by Jeff Skoll, the first president of eBay, with a mission to invest in businesses that can deliver both strong financial returns and positive social and environmental impact. The firm manages over $10 billion across multiple asset classes including venture capital, private equity, and public equities. Capricorn has been increasingly active in India, focusing on sectors like clean energy, sustainable agriculture, financial inclusion, healthcare, and education technology. Their investment approach combines rigorous financial analysis with an assessment of potential for impact at scale.",2001,No dedicated India HQ (primarily operates from US with investments in India),info@capricornllc.com,+1 (650) 289-4000,https://www.capricornllc.com,https://www.linkedin.com/company/capricorn-investment-group,Not prominently listed,100+ overall; approximately 10-15 in India,"Cleantech, Sustainable Energy, Fintech, Healthtech, Edtech, Climate Solutions",$5 million - $20 million,$10 million - $50 million,Both lead and co-investor,SolarSquare (Indian residential solar platform) in late 2023/early 2024,Capricorn does not have a formal application process. They typically invest through their network and prefer warm introductions from portfolio companies or trusted partners.,,,
CAPSAVE FINANCE,CAPSAVE Finance is a specialized financial institution focused on providing innovative financing solutions for the healthcare sector in India.,"CAPSAVE Finance Private Limited is an NBFC (Non-Banking Financial Company) dedicated to the healthcare sector. The company offers customized financial solutions to healthcare professionals and institutions, including doctors, hospitals, clinics, and medical equipment suppliers. Their primary focus is on equipment financing, working capital loans, and practice expansion loans tailored specifically for healthcare providers. CAPSAVE Finance aims to bridge the financing gap in the healthcare ecosystem through its domain expertise and specialized financial products.",2018,"Unit No. 236, 1st Floor, Vipul Agora, M G Road, Gurugram - 122002, Haryana, India",info@capsavefinance.com,-4985434,https://www.capsavefinance.com,https://www.linkedin.com/company/capsave-finance-private-limited,Not available,12 (primarily debt financing to healthcare companies),"Healthcare, Medical Equipment, Healthcare Infrastructure, Hospitals, Clinics, Diagnostics, Dental Practices","₹50 lakhs to ₹10 crores (approximately $60,000 to $1.2 million)","₹1 crore to ₹15 crores (approximately $120,000 to $1.8 million)",Primarily acts as a lead debt financier rather than an equity investor,"Invested in MedPrime Technologies (February 2024) - a medical device manufacturer, providing debt financing of approximately ₹4 crores","Founders can reach out via email at partnerships@capsavefinance.com or through the contact form on their website. They typically request a detailed business plan, financial projections, and information about the healthcare enterprise seeking funding.",,,
CARET CAPITAL,Caret Capital is an early to growth-stage venture capital firm investing in technology-driven businesses across India with a specific focus on B2B enterprises.,"Caret Capital is a venture capital firm founded by experienced investors with backgrounds in technology and operations. The firm focuses on B2B technology startups that are leveraging technology to transform traditional industries. Caret Capital provides not only financial support but also strategic guidance, operational expertise, and access to a network of industry connections to help portfolio companies scale effectively.",2018,"Gurgao, India",contact@caretcapital.in,na,https://www.caretcapital.in/,https://www.linkedin.com/company/caretcapital,https://twitter.com/CaretCapital,15+,"Enterprise SaaS, Industrial Tech, HealthTech, FinTech, Supply Chain & Logistics (Sector Agnostic",$1 million - $5 million,$3 million - $10 million,"Lead investor preference, particularly in Series A rounds","Aug 21, 2024 | Rosh | India | Stage -Seed | Amount invested - $1M","Founders can submit their business plans through the ""Submit Your Pitch"" section on the website. They recommend including detailed market analysis, competitive positioning, financial projections, and team background.",,,
CASPIAN IMPACT INVESTMENTS,"Caspian Impact Investments is an impact-focused investment firm providing debt and equity to enterprises working on financial inclusion, affordable healthcare, sustainable food and agriculture, and clean energy.","Caspian Impact Investments is a leading impact investing firm that focuses on enterprises delivering measurable social and environmental impact alongside financial returns. The firm provides debt financing, equity investments, and blended capital solutions to early and growth-stage enterprises. Caspian has a strong focus on improving livelihoods, promoting financial inclusion, expanding access to essential services, supporting sustainable food and agriculture systems, and advancing clean energy solutions. With deep domain expertise, Caspian works closely with portfolio companies to enhance their operational efficiency, governance standards, and impact outcomes.",2005,"5th Floor, Malaxmi NVCC, Opp: Banjara Hills, Road No.1, Hyderabad, Telangana 500034, India",info@caspian.in,-23554891,https://www.caspian.in,https://in.linkedin.com/company/caspian-advisors-private-limited,https://twitter.com/CaspianImpact,28,"Financial Inclusion, Healthcare, Food & Agriculture, Clean Energy, Education, Affordable Housing","$500,000 - $3 million (Equity); $250,000 - $5 million (Debt)",$1 million - $7 million,"Both lead and co-investor, depending on sector and stage","Sep 26, 2024 | CareFi | India | Stage -Conventional Debt | Amount invested - $957K","Caspian invites founders to submit proposals through their website's application portal. They look for enterprises with a clear impact thesis, demonstrated traction, and alignment with their focus sectors.",,,
CASTLE INVESTMENT,Castle Investment is a boutique investment firm focused on mid-market opportunities across India and Southeast Asia.,"Castle Investment operates as a boutique investment firm that provides growth capital to established mid-sized companies with proven business models. Their investment approach is characterized by a selective portfolio strategy, choosing to make fewer but more substantial investments where they can add significant value beyond capital. The firm focuses on traditional sectors undergoing digital transformation, including manufacturing, retail, consumer products, and business services. Castle Investment takes an active role in portfolio companies, often securing board representation and working closely with management teams on strategic initiatives.",2011,"508, Ashford Centre, Shankarsheth Road, Pune, Maharashtra 411042",info@castleinvestment.in,+91 20 2553 6000,https://www.castleinvestment.in,https://www.linkedin.com/company/castle-investment-management,https://twitter.com/CastleInvest,17,"Manufacturing, Retail, Consumer Products, Business Services, Logistics",$2M - $8M,$5M - $15M,Strongly prefers leading investments with controlling or significant minority stakes,LogiXchain (February 2024) - $7M investment in logistics technology platform,Castle Investment considers opportunities primarily through their network of industry advisors and financial intermediaries. They look for businesses with at least three years of operating history and demonstrated profitability. Inquiries can be directed to their investor relations team via email.,,,
CATHEXIS VENTURES,Cathexis Ventures is a global investment firm with a dedicated focus on Indian technology startups that demonstrate strong unit economics and scalable business models.,"Originally a US-based fund, Cathexis Ventures established a strong presence in India in 2018. The firm focuses on technology-enabled businesses that can demonstrate clear paths to profitability. Cathexis takes a thesis-driven approach, conducting deep sector analyses before making investments. They are particularly interested in companies with innovative technology solutions addressing large market opportunities in India, with potential for global expansion.","2011 (Global), 2018 (India focus)","Level 5, Cowrks Worli, Birla Centurion, Pandurang Budhkar Marg, Worli, Mumbai, Maharashtra 400030",india@cathexisventures.com,-10339,https://www.cathexisventures.com,https://www.linkedin.com/company/cathexis-ventures,https://twitter.com/CathexisVC,"62 (Global), 17 (India)","B2B SaaS, HealthTech, Enterprise Tech, FinTech, Logistics",$2M - $5M,$5M - $15M,Strong preference for leading rounds,"Invested in FlexiLoans (March 2024, $7M in Series B)","Prefers warm introductions through their network. Alternatively, founders can submit a detailed business plan through their website portal. They typically respond within 3 weeks.",,,
CDPQ,CDPQ (Caisse de dépôt et placement du Québec) is a global investment group that manages funds primarily for public and parapublic pension and insurance plans. They have a significant focus on India as part of their emerging markets strategy.,"CDPQ is one of the world's largest institutional investors with a diverse portfolio across fixed income, equities, private equity, infrastructure, and real estate. In India, CDPQ has established a strong presence with strategic investments in infrastructure, energy, logistics, financial services, and technology sectors. The firm takes a long-term investment approach focused on sustainable value creation, with particular emphasis on infrastructure development and renewable energy projects in the Indian market.",1965,"Unit No. 204, 2nd Floor
Worldmark 3, Asset Area No. 7
Aerocity, Hospitality District 
Delhi, 110037
India ",info@cdpq.com,+91 11 4957 7802,https://www.cdpq.com,https://in.linkedin.com/company/cdpq,https://twitter.com/laCDPQ,45+ investments in India,"Infrastructure, Renewable Energy, Financial Services, Technology, Logistics, Real Estate",$100 million - $300 million,$200 million - $500 million,Primarily lead investor in large deals; occasionally co-invests with strategic partners,"Invested in Avaada Energy's renewable power platform (2024), approximately $150 million",CDPQ typically invests in established companies with proven business models. They prefer direct engagement through formal introduction by intermediaries like investment banks or existing portfolio companies.,,,
CELESTA CAPITAL,Celesta Capital is a global deep tech venture capital firm with a strong focus on US-India cross-border technology investments.,"Celesta Capital (formerly WRVI Capital) is a global venture capital firm with a strong focus on deep technology investments across the US and India. The firm invests in companies developing transformative technologies in areas such as artificial intelligence, semiconductors, cloud infrastructure, and advanced manufacturing. Celesta has a dedicated India investment strategy and team, looking to leverage India's technical talent and growing innovation ecosystem. The firm typically invests in early to mid-stage companies with disruptive technology solutions and global market potential.",2019 (Rebranded from WRVI Capital in 2021),"60 Vittal Mallya Road, Bengaluru, Karnataka 560001, IN",info@celesta.vc,9.18E+11,https://celesta.vc,https://www.linkedin.com/company/celestacapital/,https://twitter.com/CelestaCapital,104,"5G
AI/ML
Aerospace
AgriTech
Automotive
CleanTech
Construction Tech
Consumer Electronics
Data Infrastructure
Data Storage
EdTech
Edge Computing
Enterprise Solutions
FinTech
FoodTech
HealthTech
Imaging
IoT
Life Sciences
Materials
MedTech
Networking
PropTech
Quantum
RealTech
RetailTech
Robotics
Security
Semiconductors
Software
Space & Defense",$5 million - $15 million,$10 million - $25 million,Primarily lead investor,"Nov 20, 2024
OneCell Diagnostics
United States
Series A
$16M",Founders can reach out through the website's contact form. Celesta looks for deep technological differentiation and large addressable markets.,,,
CHAKRA GROWTH FUND,"Chakra Growth Capital is a global venture capital firm specializing in investments in growth-stage technology enterprises that aim to disrupt key sectors such as clean energy, electrification, and mobility. ​

","Chakra Growth Capital positions itself as a leading alternative investment manager with a focus on automation and the decarbonization of energy, mobility, and electrification markets. The firm targets investments at the intersection of technological advancements—such as software, automation, artificial intelligence, and blockchain—and traditional industries including energy, transportation, buildings, industry, and low-emission fuels. This strategy aims to drive significant efficiencies and support the transition to carbon-neutral operations. Chakra Growth Capital's mission is to address the increasing global demand for energy and electricity—projected to quadruple due to factors like the rise of electric vehicles and Web 3.0—by investing in technologies that facilitate decarbonization and enhance efficiency across various industries. The firm is committed to scaling existing clean technologies and adopting new solutions, including methods for carbon offset, to achieve net-zero emissions",2023,HQ- USA,info@chakra.fund,NA,https://www.chakragrowthcapital.com/,www.linkedin.com/company/chakra-growth-fund,NA,4,"technology disruption, Software, Automation, AI, and blockchain and traditional markets such as energy, transport, buildings, industry, and low-emission fuels",$5 million - $15 million,$10 million - $30 million,"Both, with experience in leading rounds","Jan 06, 2025
Spintly
India
Seed
$408K",Founders can submit pitches through their website or connect with the investment team via LinkedIn. They look for companies with proven product-market fit and clear pathways to profitability.,,,
CHAN ZUCKERBERG INITIATIVE,"The Chan Zuckerberg Initiative (CZI) is a philanthropic organization founded by Mark Zuckerberg and Priscilla Chan that makes investments and grants in education, science, and justice & opportunity, with a dedicated focus on India.","The Chan Zuckerberg Initiative's India focus involves strategic investments and grants to organizations working in education technology, healthcare access, and community development across India. CZI combines venture capital methodologies with traditional philanthropy to drive systemic change. In India, they particularly emphasize personalized learning technologies, innovative healthcare delivery models, and solutions addressing social inequities. Their approach involves long-term partnerships with organizations demonstrating scalable impact and sustainable models.","2015 (Global), 2017 (India focus)","No permanent India HQ, operates through partners (Global HQ: 2682 Middlefield Road, Redwood City, CA 94063, USA)",india@chanzuckerberg.com,Not publicly available for India operations,https://chanzuckerberg.com/india/,https://www.linkedin.com/company/chan-zuckerberg-initiative/,https://twitter.com/ChanZuckerberg,28 (India-focused investments),"EdTech, HealthTech, Social Impact, Community Development, Science & Research","$500,000 - $10 million",$1 million - $15 million,Both Lead and Co-Investor,EkStep Foundation (October 2024) - $5 million,"Organizations seeking funding can apply through the ""Submit Your Idea"" form on their website. CZI primarily looks for scalable solutions with measurable social impact. They require detailed impact metrics and a clear theory of change in applications.",,,
CHANDIGARH ANGELS NETWORK (CAN),Chandigarh Angels Network (CAN) is an angel investment group based in Chandigarh that focuses on early-stage startups in North India.,"Chandigarh Angels Network brings together successful entrepreneurs, business executives, and professionals to invest in promising early-stage startups. The network focuses primarily on startups from Northern India, particularly the Chandigarh tri-city area, Punjab, Haryana, and Himachal Pradesh. Beyond capital, CAN provides mentorship, strategic guidance, and networking opportunities to help startups grow.",2015,"IT Park, Chandigarh 160101, India",info@chandigarhangels.com,+91 172 5063775,https://www.chandigarhangels.com,https://www.linkedin.com/company/chandigarh-angels-network,https://twitter.com/chandigarhangel,25+,"Healthcare, Agritech, Edtech, Clean Energy, Enterprise Solutions",₹50 lakhs - ₹1.5 crore (INR),₹1-3 crore (INR),Both lead and co-investor roles,"EcoSoul (February 2024, pre-Series A round)","Founders can apply through the website, where they need to submit their business plan and pitch deck. Selected startups are invited to pitch to the network's members.",,,
CHENNAI ANGELS,Chennai Angels is a premier angel investment group based in Chennai that invests in early-stage startups across India.,"The Chennai Angels (TCA) is one of India's most active angel investing groups. Founded by a group of successful entrepreneurs and business leaders, TCA brings together capital and expertise to support early-stage startups. The network evaluates hundreds of investment opportunities annually and selects promising ventures for funding. TCA has invested in numerous successful startups across various sectors. Beyond capital, TCA provides mentorship, strategic guidance, and access to a network of investors, entrepreneurs, and industry experts. The group focuses primarily on startups in South India but has expanded its reach to include promising ventures from across the country.",2007,"M/s. Chennai Angels Network Association
Module No. A3- 05,

Third Floor -Block A Phase – II,
IIT MADRAS RESEARCH PARK,

Kanagam Road Taramani,
Chennai-600113.
","connect@thechennaiangels.com
",NA,https://www.thechennaiangels.com,https://www.linkedin.com/company/the-chennai-angels/%20,https://mobile.twitter.com/angelschennai,70+ investments,"Technology, Healthcare, Manufacturing, Consumer, Fintech, Deeptech","₹50 lakhs - ₹3 crore ($60,000 - $360,000)","₹1 crore - ₹5 crore ($120,000 - $600,000)","Lead investor at seed stage, often co-invests with other angel networks","Stage (March,2024) ","Founders can apply through the online application form on their website. They evaluate ventures based on team, market opportunity, product differentiation, and growth potential.",,,
CHIRATAE VENTURES,Chiratae Ventures (formerly IDG Ventures India) is a leading technology venture capital firm focusing on early to growth-stage investments in Indian startups.,"Chiratae Ventures is a homegrown Indian VC firm founded by Sudhir Sethi and TCM Sundaram. The firm rebranded from IDG Ventures India to Chiratae Ventures in 2018 (""Chiratae"" means leopard in Kannada, symbolizing agility and adaptability). Chiratae manages multiple funds with a focus on technology and tech-enabled businesses. The firm has a thesis-driven approach to investing and maintains a deep involvement with portfolio companies through a dedicated platform team offering business development, talent acquisition, and strategic guidance.",2006 (rebranded to Chiratae in 2018),"3rd Floor, Prestige Atlanta, 80 Feet Road, Koramangala 1A Block, Bengaluru - 560034, India",contact@chiratae.com,+91-080 4043 4836,https://www.chiratae.com/,https://www.linkedin.com/company/chiratae-ventures/,https://twitter.com/ChirataeVC,170+ investments,"AgriTech, B2B, ClimateTech, ConsumerTech, DeepTech, EdTech, FinTech, HealthTech, Mobility, SaaS",$1M - $10M,$2M - $25M,Primarily lead investor,"Dec 17, 2024 | Mili | United States | Series A | $2M","Chiratae has multiple engagement channels including Chiratae Sonic (fast-track investment process) and various seed initiatives. Founders can apply through their website. They recommend having a clearly articulated vision, early traction metrics, and a strong founding team.",,,
CHONA FAMILY OFFICE,"Chona Family Office is a private investment firm managed by the Chona family, focusing on investments across various sectors in India.","The Chona Family Office manages the private investments of the Chona family, known for building Havmor Ice Cream (which was sold to Lotte in 2017). The family office invests across asset classes including startups, growth-stage companies, real estate, and public equities. In the startup ecosystem, the Chona Family Office focuses on food & beverage, consumer brands, and technology-enabled businesses. The family office brings extensive operational expertise particularly in consumer businesses and leverages its network to help portfolio companies grow.",2018,"101, First Floor, Satyam Corporate Square, Behind Rajpath Club, S.G. Highway, Ahmedabad, Gujarat 380059, India",investments@chonafamily.com,-5991,https://www.chonafamilyoffice.com,https://www.linkedin.com/company/chona-family-office,NA,16,"Food & Beverage, D2C Brands, Consumer Technology, Retail, FMCG",$1M-$5M,$2M-$10M,Co-investor (typically participates alongside established VCs),"Invested in The Whole Truth Foods, a clean-label food brand (November 2024)","The family office prefers warm introductions through its network. Founders with relevant businesses can reach out via email with a brief overview of their business, highlighting market opportunity and current traction.",,,
CIPLA,Cipla is a global pharmaceutical company with a venture investment arm focusing on healthcare innovation.,"Cipla Limited is a global pharmaceutical company with a strong presence in India, established in 1935. While primarily known for pharmaceutical manufacturing, Cipla has an investment division that focuses on healthcare innovation, biotech, digital health, and medtech startups. Through Cipla Ventures or Cipla Health Fund, the company makes strategic investments in emerging healthcare technologies and platforms that align with its long-term vision of providing accessible healthcare solutions.",1935,"Cipla House, Peninsula Business Park, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013, India","cinfovest@cipla.com (Venture division), contactus@cipla.com (General)",+91 22 2482 6000,https://www.cipla.com,https://www.linkedin.com/company/cipla,https://twitter.com/Cipla_Global,12+ (venture investments),"Healthcare, Pharmaceuticals, Biotech, Digital Health, Medtech",$1-10 million,$5-20 million,Both lead and co-investor (strategic investor),Fertilitypedia (February 2025),Founders can reach out through their corporate development team via email. The company looks for healthcare innovations that complement or enhance Cipla's existing portfolio.,,,
CITY LIGHT CAPITAL,"City Light Capital is an impact venture capital firm that invests in companies addressing critical needs in education, safety and care, and the environment, with a growing focus on the Indian market.","City Light Capital invests in early-stage technology companies that generate measurable social and environmental impact alongside financial returns. The firm follows a thesis-driven approach focused on scalable solutions to major societal challenges. With their expansion into India, they seek to support entrepreneurs leveraging technology to address the country's unique challenges while creating sustainable business models.",2004,"WeWork Galaxy, 43, Residency Road, Bengaluru, Karnataka 560025, India",info@citylightcapital.com,+91 80 6817 7100,https://www.citylightcapital.com,https://www.linkedin.com/company/city-light-capital,https://twitter.com/CityLightCap,42,"EdTech, HealthTech, CleanTech, Safety & Security, Financial Inclusion","$500,000 - $3 million",$2-8 million,"Primarily co-investor, occasional lead",Leap Finance (February 2024) - $15 million Series B,"Founders should submit their pitch through the online application form on their website, highlighting both impact metrics and business model.",,,
CK JAIPURIA FAMILY OFFICE (PEPSI BOTTLERS AP),"CK Jaipuria Family Office is the investment arm of the Jaipuria family, known for their Pepsi bottling business in Andhra Pradesh, focusing on strategic investments in established businesses and promising startups.","The CK Jaipuria Family Office manages the wealth of the Jaipuria family, who built their fortune through the PepsiCo bottling franchise in Andhra Pradesh. The family office employs a diversified investment strategy across multiple asset classes, including private equity, venture capital, real estate, and public markets. Their venture investments focus on consumer brands, food & beverage, retail technology, and sustainable businesses. The family office leverages its extensive experience in consumer businesses to provide strategic guidance to portfolio companies.",2005,"Jaipuria House, 19 Ashoka Road, New Delhi 110001, India",investments@ckjaipuria.com,-10055,https://www.ckjaipuriafamilyoffice.com,NA,NA,19,"Consumer Brands, F&B, Retail Tech, Sustainable Businesses, Manufacturing",$2M - $10M,$5M - $20M,Primarily co-investor in growth stages,"Strategic investment in GreenPlate (sustainable packaging startup) in November 2024, approximately $3M",The family office prefers introductions through their network of industry connections and financial advisors. Unsolicited pitches are rarely considered. They look for businesses with proven revenue models and growth potential.,,,
CLARIS,Claris Capital is a venture capital firm that focuses on early-stage investments in technology-driven companies with innovative solutions.,"Claris Capital invests in early to growth-stage technology companies with disruptive potential. The firm typically partners with entrepreneurs building scalable businesses in sectors including fintech, healthtech, enterprise SaaS, and consumer technologies. Claris emphasizes a hands-on approach, providing strategic guidance, operational support, and access to their network to help portfolio companies scale efficiently.",2018,"7th Floor - A wing, Claris Corporate Headquarters, Near Parimal Crossing, Ellisbridge, Ahmedabad, Gujarat 380006, IN",info@clariscapital.com,-92872646,https://www.clariscapital.in/,https://in.linkedin.com/company/claris_capital_limited,NA,22,"Fintech, Healthtech, Enterprise SaaS, Consumer Technology, E-commerce",$1 million - $5 million,$3 million - $10 million,"Both lead and co-investor, depending on the opportunity","Invested in HealthifyMe's Series D round (2024), participation amount undisclosed","Founders can reach out through the contact form on their website or through warm introductions from their network. Claris prefers detailed pitch decks including market analysis, business model, traction metrics, and future roadmap.",,,
CLAYPOND CAPITAL,Claypond Capital is a venture capital firm focusing on early to growth-stage investments in the Indian market.,"Claypond Capital invests in innovative businesses across multiple sectors in India. The firm was established by seasoned investors with experience in building and scaling companies. They offer strategic guidance, operational support, and access to a vast network of industry connections to help portfolio companies succeed.",2017,"Indiabulls Finance Centre, Elphinstone Road, Mumbai, Maharashtra, India",contact@claypondcapital.com,-40501165,https://www.claypondcapital.com,NA,https://twitter.com/ClaypondCapital,Approximately 18-22 investments,"Consumer Brands, FinTech, HealthTech, AgriTech, CleanTech",$1 million - $3 million,$2 million - $5 million,"Both lead and co-investor, depending on the opportunity","Agritech platform ""FarmEasy"" (Q2 2024) - $2.5 million",Founders can reach out through email or the contact form on their website. Claypond prefers companies with some traction and proof of concept. They have a structured investment committee process for evaluating potential investments.,,,
CLIMATE ANGELS,Climate Angels is a sector-focused early-stage investment syndicate that invests in startups working on climate change mitigation and adaptation solutions.,"Climate Angels is India's first angel investment syndicate focused exclusively on climate tech startups. The platform brings together angel investors, family offices, and early-stage funds interested in supporting innovative solutions to climate change. Climate Angels takes a thesis-driven approach to investing, focusing on areas such as clean energy, sustainable agriculture, circular economy, electric mobility, and climate analytics. Beyond capital, they provide portfolio companies with mentorship, technical expertise, and connections to corporates and follow-on investors.",2020,"rd floor, Springhouse, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002",info@climateangels.in,Contact form available on website,https://www.climateangels.in,https://www.linkedin.com/company/climate-angels,https://twitter.com/climateangels,15-20 investments,"Clean Energy, Sustainable Agriculture, Circular Economy, Electric Mobility, Climate Analytics",$100K-$500K,$300K-$1.5M,"Both lead and co-investor, flexible based on the specific opportunity","BatterySense (2024), a battery recycling and analytics platform",Climate Angels accepts applications through their website. They look for startups with clear climate impact metrics and a viable business model. Founders should be able to articulate both the environmental and commercial value propositions of their solution. They run regular pitch sessions for shortlisted startups.,,,
CLIMBER CAPITAL,"Climber Capital is a seed-stage venture capital firm that partners with early-stage startups, providing them with capital, mentorship, and resources to foster innovation and sustainable growth.","Founded with a commitment to empowering visionary entrepreneurs, Climber Capital has executed over 50 deals, demonstrating a strong track record in reshaping industries through strategic investments. ​Climber Capital is a seed-stage venture capital firm that partners with early-stage startups, providing not only financial investment but also comprehensive support, including mentorship and access to a network of innovators. The firm embraces a sector-agnostic approach, investing in diverse industries and focusing on visionary entrepreneurs with transformative ideas. Climber Capital values transparency, environmental responsibility, diversity, and long-term partnerships, positioning itself as a catalyst for positive change and sustainable innovation.",2019,"901-05, Maker Chambers V, Nariman Point, Mumbai, Maharashtra 400021, India
",  NA,"+91 82772 99699
",https://climbercapital.in/,https://www.linkedin.com/company/climber-capital/, NA,27,Sector Agnostic,"$500,000 - $2 million",$1 million - $5 million,Mix of lead and co-investing with preference for lead in climate tech,"Oct 04, 2024 | The Hosteller | India | Stage -Series A | Amount invested - $3.8M",Climber Capital welcomes direct approaches through email with detailed pitch deck. They emphasize clear climate impact metrics alongside business model viability.,,,
CLOUD CAPITAL,Cloud Capital (formerly Speciale Invest) is an early-stage venture capital firm focused on deep tech startups in India.,"Cloud Capital, formerly known as Speciale Invest, is an early-stage venture capital firm that invests in deep technology startups across India. The firm focuses on startups building differentiated technology in areas such as enterprise software, frontier tech, robotics, and advanced materials. Founded by Vishesh Rajaram and Arjun Rao, Cloud Capital typically invests at the Pre-Seed and Seed stages, providing capital along with hands-on mentorship and strategic guidance. The firm rebranded from Speciale Invest to Cloud Capital in 2023 to better reflect its focus on building a strong foundation for deep tech founders in India.","2017 (as Speciale Invest, rebranded to Cloud Capital in 2023)",No available infromation,team@cloud.capital,Contact through website form,https://www.cloud.capital,https://www.linkedin.com/company/cloudcapital/,https://twitter.com/cloudcapitalvc,25+,"Deep Tech, Enterprise SaaS, Robotics, Spacetech, Advanced Materials","$300,000 to $1 million","$500,000 to $2 million",Typically leads Seed rounds,"AirBorne AI (2024, $800,000)",Founders can apply through the website submission form. Cloud Capital looks for technical founders building innovative solutions with potential for global impact.,,,
COATUE MANAGEMENT,Coatue Management is a global technology-focused investment manager with a dedicated India investment focus.,"Coatue Management is a global investment firm that manages a multi-billion dollar portfolio focused on public and private technology companies. The firm's India focus involves investing in high-growth technology startups across various stages, from Series A to pre-IPO. Coatue brings a global perspective and extensive network to its portfolio companies, helping them scale internationally. The firm takes a data-driven approach to investing, leveraging its proprietary research and analytics capabilities to identify promising opportunities in the Indian technology ecosystem.",2019 (India operations),No India office ,india@coatue.com,-13475,https://www.coatue.com,https://www.linkedin.com/company/coatue-management,https://twitter.com/coatue,32 (India specific),"Technology, FinTech, EdTech, E-commerce, SaaS, Consumer Internet",$20M-$100M,$50M-$200M,"Both (flexible approach, often leads larger growth rounds)","Invested in PhysicsWallah, an EdTech platform (December 2024)","Coatue typically invests through its network of referrals. However, founders can reach out via LinkedIn to the India team members. The firm looks for companies with significant traction and clear paths to market leadership.",,,
COGNIPHY LLC,"Cogniphy LLC is a venture capital firm specializing in AI, deep tech, and enterprise software investments with a dedicated focus on Indian startups.","Cogniphy LLC is an early-stage investor focused on disruptive technologies in artificial intelligence, machine learning, and deep tech. The firm has a particular interest in Indian startups developing innovative solutions with global applications. They provide not only capital but also technical expertise and global networking opportunities to their portfolio companies.",2015,"COGNIPHY LLC
C-224, JMD Empire, Sector 62
Golf Couse Extension Road
Gurugram - 122102",contactus@cogniphy.us,NA,https://cogniphy.us/,https://www.linkedin.com/company/cogniphy-llc/, NA,17,Sector Agnostic,$750K-3M,$1.5M-7M,Co-investor (typically partners with sector-specialized VCs),"DeepSight AI Labs (Computer Vision Solutions), March 2024, $2.3M",Cogniphy accepts pitch decks via email and through their online application portal. They recommend including detailed technical documentation and clear IP strategy.,,,
COINBASE VENTURES,"Coinbase Ventures is the investment arm of Coinbase, focused on crypto and blockchain investments with an increasing focus on the Indian ecosystem.","Coinbase Ventures is the investment arm of cryptocurrency exchange Coinbase, which has been actively investing in blockchain and crypto startups in India. The venture arm does not operate a traditional fund structure but instead makes strategic investments across various stages from Seed to Series B. In India, Coinbase Ventures has shown particular interest in infrastructure, DeFi, and Web3 projects that demonstrate potential for mass adoption. The firm typically provides not just capital but also strategic support, technical expertise, and access to Coinbase's global network. Despite regulatory challenges in the Indian crypto space, Coinbase Ventures has maintained a strong commitment to supporting the local ecosystem.","2018 (Global), active in India since 2021",No permanent office in India; operates from the US with representatives visiting India,ventures@coinbase.com,Contact through website form,https://ventures.coinbase.com,https://www.linkedin.com/company/coinbase/,https://twitter.com/coinbaseventure,"250+ (globally), 10+ (India)","CeFi,DeFi,Platform & Developer Tools,Protocols & Web3 Infrastructure,Web3 Consumer, Crypto Exchanges","$500,000 to $5 million",$1-15 million,Primarily co-invests,"Polygon (2024, participated in strategic round, amount undisclosed)","Founders can apply through the online form on the Coinbase Ventures website. The firm evaluates projects based on technology innovation, team expertise, and market opportunity.",,,
